Year,TeamA,TeamB,ORebDiff,DRebDiff,AsstDiff,PFDiff,STLDiff,TODiff,BlkDiff,PtDiff,FGPDiff,X3PPDiff,FTPDiff,WL
2003,MIA,NOH,-1.841463415,0.5,-1.841463415,1.170731707,-1.43902439,-0.963414634,-0.402439024,-1.548780488,0.00559455,0.038678552,0.011234568,W
2003,DET,MIL,0.658536585,-0.12195122,-2.073170732,-0.036585366,1.280487805,1.37804878,2.280487805,-7.93902439,-0.0116205,-0.00656509,-0.021983156,W
2003,NJN,NYK,-1.073170732,-0.853658537,3.829268293,-2.134146341,1.231707317,-1.170731707,-0.841463415,-1.719512195,-0.000883428,-0.028417635,-0.040069782,W
2003,MIN,DEN,-2.536585366,3.146341463,1.170731707,-0.890243902,-2.243902439,-2.402439024,-0.707317073,-2.670731707,0.019018502,0.027393059,0.014279044,W
2003,SAC,DAL,-3.487804878,-0.56097561,2.304878049,-0.280487805,0.658536585,1.731707317,-1.365853659,-2.353658537,0.002900793,0.052987316,-7.81E-05,W
2003,SAS,MEM,-0.231707317,3.512195122,-2.914634146,-2.87804878,-1.634146341,-0.304878049,-0.341463415,-5.231707317,-0.003379504,0.017712088,-0.045546247,W
2003,LAL,HOU,1.87804878,-1.365853659,4.5,-0.365853659,1.487804878,-2.426829268,-0.780487805,8.414634146,0.011595679,-0.03893308,-0.079377382,W
2003,IND,MIA,0.304878049,-0.085365854,2.548780488,-1.256097561,1.658536585,0.390243902,1.195121951,1.109756098,0.010186852,-0.006898627,0.001774524,W
2003,DET,NJN,1.853658537,0.231707317,-3.743902439,-0.707317073,-0.609756098,0.268292683,3.024390244,-0.158536585,-0.006466608,0.007945326,-0.000580878,W
2003,MIN,SAC,-0.158536585,1.865853659,-3.195121951,1.768292683,-1.817073171,-1.256097561,1.670731707,-8.292682927,-0.000801624,-0.037767934,-0.014661385,W
2003,SAS,LAL,0.329268293,1.634146341,-3.317073171,-0.792682927,-0.256097561,0.719512195,1.926829268,-6.719512195,-0.011849125,0.030540477,-0.012447064,L
2003,IND,DET,-0.597560976,-0.487804878,0.87804878,0.548780488,0.817073171,-0.865853659,-1.93902439,1.280487805,0.00046742,0.006854165,0.011002539,L
2003,MIN,LAL,-1.536585366,1.341463415,-0.707317073,-0.012195122,-1.475609756,-1.12195122,1.012195122,-3.646341463,0.008008572,0.036079408,0.087385255,L
2003,DET,LAL,0.158536585,-0.524390244,-3,-0.829268293,-0.280487805,1.012195122,2.329268293,-8.097560976,-0.018568968,0.016298991,0.059199499,W
2004,MIA,NJN,0.390243902,3.073170732,0.219512195,-2.073170732,-1.487804878,-0.43902439,2.024390244,10.13414634,0.057454936,0.015388117,-0.090284863,W
2004,CHI,WAS,-1.609756098,2.646341463,2.195121951,2.707317073,-1.707317073,2.414634146,0.268292683,-6.048780488,-0.004371138,0.013470391,0.025040388,L
2004,BOS,IND,0.5,0.243902439,3.914634146,1.353658537,0.634146341,1.512195122,0.804878049,8.268292683,0.035338677,0.004914549,-0.028286257,L
2004,DET,PHI,1.768292683,-0.353658537,0.93902439,-2.926829268,-2.195121951,-1.719512195,2.146341463,-5.792682927,0.006660292,-0.002827434,-0.050365267,W
2004,PHO,MEM,0.975609756,4.207317073,2.573170732,-4.231707317,-1.548780488,-0.87804878,-0.280487805,16.98780488,0.030667774,0.035557271,-0.005875646,W
2004,DAL,HOU,1.414634146,-0.865853659,-1.5,0.256097561,1.768292683,-0.402439024,1.012195122,7.426829268,0.013660592,0.000131183,0.008142999,W
2004,SEA,SAC,0.219512195,-1.756097561,-6.317073171,3.158536585,-1.475609756,0.487804878,0.268292683,-4.780487805,-0.015492961,-0.008793922,0.002843913,W
2004,SAS,DEN,0.243902439,0.195121951,-2.280487805,-1.975609756,-1.670731707,-1.195121951,0.658536585,-3.329268293,-0.006080965,0.023015328,-0.03902165,W
2004,MIA,WAS,-3,3.231707317,2.768292683,0.097560976,-2.292682927,-0.56097561,1.548780488,1.048780488,0.049776268,0.033859961,-0.052615736,W
2004,IND,DET,-2.268292683,-1.085365854,-3.634146341,3.06097561,0.475609756,0.487804878,-1.707317073,-0.329268293,-0.01152683,-0.000602361,0.053779755,L
2004,PHO,DAL,-0.280487805,1.487804878,3.865853659,-3.219512195,-1.658536585,0.280487805,-0.097560976,7.914634146,0.02045463,0.029184622,-0.041032844,W
2004,SEA,SAS,0.658536585,-2.170731707,-3.463414634,2.768292683,-0.731707317,-0.158536585,-2.5,2.743902439,-0.009657211,0.001690719,0.065713457,L
2004,MIA,DET,-2.036585366,1.609756098,0.036585366,2.146341463,-0.585365854,-0.073170732,-0.280487805,8.219512195,0.042326104,0.032254782,-0.066260774,L
2004,PHO,SAS,-0.243902439,1.987804878,1.902439024,-1.865853659,-0.5,-0.012195122,-1.097560976,14.2195122,0.024308169,0.029451539,0.024020319,L
2004,DET,SAS,0.817073171,0.219512195,0.195121951,-0.951219512,-0.451219512,0.085365854,-0.56097561,-2.865853659,-0.009166458,-0.018711515,0.014548047,L
