"Cost","Gamma","Accuracy","AUC"
0.03125,8,0.746153846153846,0.5
0.0625,8,0.746153846153846,0.5
0.125,8,0.746153846153846,0.5
0.25,8,0.746153846153846,0.5
0.5,8,0.746153846153846,0.5
1,8,0.746153846153846,0.5
2,8,0.746153846153846,0.5
4,8,0.746153846153846,0.5
8,8,0.746153846153846,0.5
16,8,0.746153846153846,0.5
32,8,0.746153846153846,0.5
64,8,0.746153846153846,0.5
128,8,0.746153846153846,0.5
256,8,0.746153846153846,0.5
512,8,0.746153846153846,0.5
1024,8,0.746153846153846,0.5
128,3.0517578125e-05,0.742307692307692,0.5024211184005
64,6.103515625e-05,0.742307692307692,0.5024211184005
32,0.0001220703125,0.742307692307692,0.5024211184005
16,0.000244140625,0.742307692307692,0.5024211184005
8,0.00048828125,0.742307692307692,0.5024211184005
0.5,0.015625,0.742307692307692,0.5024211184005
4,0.0009765625,0.746153846153846,0.504998437988129
0.5,0.03125,0.746153846153846,0.504998437988129
1,0.03125,0.719230769230769,0.506950952827241
1,0.0625,0.715384615384615,0.509372071227741
2,0.0078125,0.734615384615385,0.517260231177757
2,0.125,0.726923076923077,0.527100905966885
4,0.125,0.726923076923077,0.532099343955014
8,0.125,0.726923076923077,0.532099343955014
16,0.125,0.726923076923077,0.532099343955014
32,0.125,0.726923076923077,0.532099343955014
64,0.125,0.726923076923077,0.532099343955014
128,0.125,0.726923076923077,0.532099343955014
256,0.125,0.726923076923077,0.532099343955014
512,0.125,0.726923076923077,0.532099343955014
1024,0.125,0.726923076923077,0.532099343955014
4,0.00390625,0.742307692307692,0.532411746329272
32,0.00048828125,0.742307692307692,0.537410184317401
16,0.0009765625,0.742307692307692,0.537410184317401
8,0.001953125,0.746153846153846,0.53998750390503
512,3.0517578125e-05,0.742307692307692,0.542408622305529
256,6.103515625e-05,0.742307692307692,0.542408622305529
128,0.0001220703125,0.742307692307692,0.542408622305529
64,0.000244140625,0.746153846153846,0.544985941893158
8,0.00390625,0.723076923076923,0.5495157763199
4,0.0078125,0.726923076923077,0.552093095907529
2,0.0625,0.684615384615385,0.553733208372384
2,0.015625,0.734615384615385,0.557247735082787
1024,0.0078125,0.596153846153846,0.559434551702593
256,0.0001220703125,0.730769230769231,0.559668853483286
4,0.0625,0.673076923076923,0.560996563573883
128,0.000244140625,0.734615384615385,0.562246173070915
16,0.001953125,0.742307692307692,0.562402374258044
32,0.001953125,0.7,0.564042486722899
512,0.0078125,0.603846153846154,0.564589190877851
1024,3.0517578125e-05,0.730769230769231,0.564667291471415
128,0.015625,0.611538461538462,0.56474539206498
256,0.015625,0.611538461538462,0.56474539206498
512,0.015625,0.611538461538462,0.56474539206498
1024,0.015625,0.611538461538462,0.56474539206498
64,0.00048828125,0.738461538461539,0.564823492658544
512,6.103515625e-05,0.734615384615385,0.567244611059044
32,0.03125,0.623076923076923,0.567478912839738
4,0.03125,0.669230769230769,0.568416119962512
8,0.0625,0.676923076923077,0.568572321149641
64,0.0009765625,0.7,0.569040924711028
32,0.0009765625,0.746153846153846,0.569978131833802
64,0.03125,0.626923076923077,0.570056232427366
128,0.03125,0.626923076923077,0.570056232427366
256,0.03125,0.626923076923077,0.570056232427366
512,0.03125,0.626923076923077,0.570056232427366
1024,0.03125,0.626923076923077,0.570056232427366
16,0.0625,0.680769230769231,0.57114964073727
32,0.0625,0.680769230769231,0.57114964073727
64,0.0625,0.680769230769231,0.57114964073727
128,0.0625,0.680769230769231,0.57114964073727
256,0.0625,0.680769230769231,0.57114964073727
512,0.0625,0.680769230769231,0.57114964073727
1024,0.0625,0.680769230769231,0.57114964073727
2,0.03125,0.711538461538462,0.571774445485786
128,0.00048828125,0.707692307692308,0.574195563886286
1024,0.00390625,0.607692307692308,0.577163386441737
1024,6.103515625e-05,0.707692307692308,0.579194001874414
64,0.015625,0.626923076923077,0.580053108403624
512,0.0001220703125,0.711538461538462,0.581771321462043
256,0.000244140625,0.711538461538462,0.581771321462043
1024,0.00048828125,0.669230769230769,0.583411433926898
16,0.03125,0.642307692307692,0.585363948766011
1024,0.000244140625,0.680769230769231,0.586144954701656
256,0.00048828125,0.696153846153846,0.586457357075914
256,0.0078125,0.623076923076923,0.587472664792252
16,0.00390625,0.715384615384615,0.589347079037801
128,0.0009765625,0.696153846153846,0.591455795064042
512,0.00390625,0.630769230769231,0.59262730396751
8,0.03125,0.661538461538462,0.593252108716026
512,0.00048828125,0.692307692307692,0.593876913464542
512,0.0009765625,0.676923076923077,0.598562949078413
256,0.0009765625,0.692307692307692,0.598875351452671
1024,0.0001220703125,0.707692307692308,0.599187753826929
512,0.000244140625,0.707692307692308,0.599187753826929
16,0.015625,0.669230769230769,0.603405185879413
4,0.015625,0.723076923076923,0.604498594189316
8,0.0078125,0.723076923076923,0.609497032177445
512,0.001953125,0.657692307692308,0.610668541080912
256,0.001953125,0.673076923076923,0.61098094345517
128,0.001953125,0.696153846153846,0.611449547016557
64,0.001953125,0.707692307692308,0.614183067791315
256,0.00390625,0.665384615384615,0.61582318025617
8,0.015625,0.696153846153846,0.616447985004686
128,0.00390625,0.684615384615385,0.618712902218057
16,0.0078125,0.7,0.619025304592315
128,0.0078125,0.657692307692308,0.62066541705717
32,0.0078125,0.688461538461538,0.621290221805686
1024,0.0009765625,0.669230769230769,0.623398937831928
1024,0.001953125,0.669230769230769,0.623398937831928
32,0.015625,0.665384615384615,0.625820056232427
64,0.00390625,0.707692307692308,0.629178381755701
32,0.00390625,0.715384615384615,0.62933458294283
64,0.0078125,0.696153846153846,0.64144017494533
