"Cost","Gamma","Accuracy","AUC"
0.03125,2,0.746153846153846,0.5
3.0517578125e-05,4,0.746153846153846,0.5
6.103515625e-05,4,0.746153846153846,0.5
0.0001220703125,4,0.746153846153846,0.5
0.000244140625,4,0.746153846153846,0.5
0.00048828125,4,0.746153846153846,0.5
0.0009765625,4,0.746153846153846,0.5
0.001953125,4,0.746153846153846,0.5
0.00390625,4,0.746153846153846,0.5
0.0078125,4,0.746153846153846,0.5
0.015625,4,0.746153846153846,0.5
0.03125,4,0.746153846153846,0.5
3.0517578125e-05,8,0.746153846153846,0.5
6.103515625e-05,8,0.746153846153846,0.5
0.0001220703125,8,0.746153846153846,0.5
0.000244140625,8,0.746153846153846,0.5
0.00048828125,8,0.746153846153846,0.5
0.0009765625,8,0.746153846153846,0.5
0.001953125,8,0.746153846153846,0.5
0.00390625,8,0.746153846153846,0.5
0.0078125,8,0.746153846153846,0.5
0.015625,8,0.746153846153846,0.5
0.03125,8,0.746153846153846,0.5
256,3.0517578125e-05,0.742307692307692,0.5024211184005
128,6.103515625e-05,0.742307692307692,0.5024211184005
64,0.0001220703125,0.742307692307692,0.5024211184005
32,0.000244140625,0.742307692307692,0.5024211184005
16,0.00048828125,0.742307692307692,0.5024211184005
8,0.0009765625,0.742307692307692,0.5024211184005
4,0.001953125,0.742307692307692,0.5024211184005
2,0.00390625,0.742307692307692,0.5024211184005
1,0.0078125,0.742307692307692,0.5024211184005
0.125,0.125,0.742307692307692,0.5024211184005
0.5,0.015625,0.746153846153846,0.504998437988129
0.25,0.03125,0.746153846153846,0.504998437988129
0.0625,1,0.746153846153846,0.504998437988129
512,8,0.619230769230769,0.509918775382693
1024,8,0.619230769230769,0.509918775382693
0.0625,2,0.75,0.512574195563886
0.0625,4,0.75,0.512574195563886
0.0625,8,0.75,0.512574195563886
4,8,0.638461538461538,0.51280849734458
4,1,0.619230769230769,0.514917213370822
0.125,0.5,0.711538461538462,0.51679162761637
1,8,0.607692307692308,0.517182130584192
128,2,0.623076923076923,0.51749453295845
256,2,0.623076923076923,0.51749453295845
64,8,0.623076923076923,0.51749453295845
128,8,0.623076923076923,0.51749453295845
256,8,0.623076923076923,0.51749453295845
16,8,0.626923076923077,0.520071852546079
32,8,0.626923076923077,0.520071852546079
0.25,0.125,0.726923076923077,0.522102467978757
2,4,0.619230769230769,0.524914089347079
2,0.5,0.626923076923077,0.525070290534208
4,4,0.634615384615385,0.525226491721337
0.25,8,0.665384615384615,0.525851296469853
8,2,0.615384615384615,0.527335207747579
32,2,0.623076923076923,0.527491408934708
8,0.5,0.638461538461538,0.527803811308966
16,2,0.619230769230769,0.529912527335208
8,8,0.642307692307692,0.530381130896595
2,8,0.646153846153846,0.532958450484224
0.125,8,0.7,0.534051858794127
0.125,1,0.707692307692308,0.534208059981256
512,0.5,0.619230769230769,0.534910965323336
1024,0.5,0.619230769230769,0.534910965323336
64,2,0.634615384615385,0.535223367697594
1,2,0.623076923076923,0.537488284910965
2,1,0.630769230769231,0.537644486098094
0.125,4,0.692307692307692,0.538894095595126
2,0.015625,0.738461538461539,0.539831302717901
512,2,0.65,0.540534208059981
1024,2,0.65,0.540534208059981
1024,3.0517578125e-05,0.742307692307692,0.542408622305529
512,6.103515625e-05,0.742307692307692,0.542408622305529
256,0.0001220703125,0.742307692307692,0.542408622305529
128,0.000244140625,0.742307692307692,0.542408622305529
64,0.00048828125,0.742307692307692,0.542408622305529
32,0.0009765625,0.742307692307692,0.542408622305529
16,0.001953125,0.742307692307692,0.542408622305529
